submission_id,hhid,round,enum_id,start_time,end_time,duration_minutes,consent,refusal,gps_accuracy,module_missing_count,dont_know_count
SUB00057,HH00057,followup,EN11,2026-03-15 09:30:00,2026-03-15 10:54:00,32.2,1,0,11.8,1,4
SUB00058,HH00058,followup,EN11,2026-03-09 09:18:00,2026-03-09 10:05:00,27.9,1,0,25.4,0,6
SUB00059,HH00059,followup,EN02,2026-03-07 09:30:00,2026-03-07 10:43:00,15.6,1,0,13.6,0,1
SUB00060,HH00060,followup,EN03,2026-03-31 09:43:00,2026-03-31 10:22:00,14.2,1,0,30.4,0,3
SUB00061,HH00061,followup,EN07,2026-03-21 09:14:00,2026-03-21 10:09:00,28.5,1,0,25.0,0,0
SUB00062,HH00062,followup,EN09,2026-04-10 09:13:00,2026-04-10 10:24:00,38.9,1,0,16.4,0,2
SUB00063,HH00063,followup,EN09,2026-03-13 09:31:00,2026-03-13 10:23:00,39.3,1,0,27.6,0,1
SUB00064,HH00064,followup,EN15,2026-03-17 09:13:00,2026-03-17 10:35:00,23.5,1,0,37.8,0,0
SUB00065,HH00065,followup,EN02,2026-03-14 09:26:00,2026-03-14 10:27:00,35.2,1,0,27.4,0,1
SUB00066,HH00066,followup,EN01,2026-03-03 09:41:00,2026-03-03 10:36:00,37.0,1,0,21.5,0,1
SUB00067,HH00067,followup,EN11,2026-04-07 09:59:00,2026-04-07 10:45:00,42.3,1,0,4.2,0,4
SUB00068,HH00068,followup,EN08,2026-03-26 09:43:00,2026-03-26 10:02:00,57.8,1,0,31.9,0,0
SUB00069,HH00069,followup,EN15,2026-03-16 09:11:00,2026-03-16 10:15:00,29.1,1,0,3,0,1
SUB00070,HH00070,followup,EN03,2026-03-08 09:50:00,2026-03-08 10:39:00,27.4,1,0,20.8,0,0
SUB00071,HH00071,followup,EN10,2026-03-31 09:33:00,2026-03-31 10:16:00,33.6,1,0,12.3,0,1
SUB00072,HH00072,followup,EN11,2026-03-02 09:30:00,2026-03-02 10:28:00,31.1,1,0,13.9,0,4
SUB00073,HH00073,followup,EN14,2026-04-08 09:43:00,2026-04-08 10:55:00,47.1,0,0,15.9,0,0
SUB00074,HH00074,followup,EN04,2026-03-29 09:49:00,2026-03-29 10:17:00,23.1,1,0,15.2,0,0
SUB00075,HH00075,followup,EN01,2026-04-06 09:19:00,2026-04-06 10:08:00,42.2,1,0,27.0,0,1
SUB00076,HH00076,followup,EN06,2026-03-14 09:22:00,2026-03-14 10:31:00,35.4,1,0,44.4,0,1
SUB00077,HH00077,followup,EN09,2026-04-06 09:09:00,2026-04-06 10:46:00,23.8,1,0,4.6,0,2
SUB00078,HH00078,followup,EN14,2026-03-18 09:39:00,2026-03-18 10:43:00,44.2,1,0,12.8,0,0
SUB00079,HH00079,followup,EN12,2026-03-29 09:50:00,2026-03-29 10:45:00,47.7,1,0,14.8,0,0
SUB00080,HH00080,followup,EN05,2026-04-04 09:31:00,2026-04-04 10:14:00,33.9,1,0,15.4,0,1
SUB00081,HH00081,followup,EN05,2026-03-11 09:21:00,2026-03-11 10:56:00,39.7,1,0,10.8,1,0
SUB00082,HH00082,followup,EN07,2026-03-21 09:22:00,2026-03-21 10:39:00,16.4,1,0,3,0,1
SUB00083,HH00083,followup,EN10,2026-03-11 09:35:00,2026-03-11 10:51:00,42.8,1,0,21.5,0,0
SUB00084,HH00084,followup,EN12,2026-03-28 09:45:00,2026-03-28 10:35:00,40.7,1,0,24.0,0,1
SUB00085,HH00085,followup,EN03,2026-03-29 09:19:00,2026-03-29 10:56:00,15.2,1,0,17.7,0,2
SUB00086,HH00086,followup,EN08,2026-03-04 09:42:00,2026-03-04 10:49:00,34.4,0,0,3.8,0,0
SUB00087,HH00087,followup,EN09,2026-03-12 09:26:00,2026-03-12 10:05:00,55.4,1,0,6.1,0,1
SUB00088,HH00088,followup,EN13,2026-03-23 09:57:00,2026-03-23 10:35:00,48.7,1,0,3,0,1
SUB00089,HH00089,followup,EN08,2026-04-09 09:20:00,2026-04-09 10:42:00,42.9,1,0,12.9,0,2
SUB00090,HH00090,followup,EN06,2026-04-05 09:39:00,2026-04-05 10:25:00,16.2,1,0,7.4,0,2
SUB00091,HH00091,followup,EN10,2026-04-06 09:30:00,2026-04-06 10:50:00,33.0,0,0,11.7,0,2
SUB00092,HH00092,followup,EN11,2026-04-13 09:54:00,2026-04-13 10:06:00,38.8,1,0,3,1,3
SUB00093,HH00093,followup,EN09,2026-04-07 09:41:00,2026-04-07 10:18:00,35.4,1,0,12.9,0,1
SUB00094,HH00094,followup,EN10,2026-04-04 09:37:00,2026-04-04 10:03:00,35.2,1,0,28.8,0,0
SUB00095,HH00095,followup,EN05,2026-03-25 09:23:00,2026-03-25 10:37:00,33.0,1,0,28.4,0,0
SUB00096,HH00096,followup,EN04,2026-03-08 09:48:00,2026-03-08 10:51:00,23.4,1,0,18.7,0,0
SUB00097,HH00097,followup,EN12,2026-03-03 09:05:00,2026-03-03 10:38:00,37.1,1,0,4.0,0,1
SUB00098,HH00098,followup,EN12,2026-04-02 09:45:00,2026-04-02 10:33:00,30.0,1,0,6.1,0,2
SUB00099,HH00099,followup,EN01,2026-04-13 09:05:00,2026-04-13 10:22:00,28.4,1,0,6.8,0,1
SUB00100,HH00100,followup,EN16,2026-04-04 09:27:00,2026-04-04 10:06:00,56.7,1,0,7.3,0,0
SUB00101,HH00101,followup,EN02,2026-03-15 09:44:00,2026-03-15 10:03:00,42.2,1,0,19.4,0,2
SUB00102,HH00102,followup,EN11,2026-04-01 09:03:00,2026-04-01 10:10:00,37.1,1,0,20.1,0,4
SUB00103,HH00103,followup,EN06,2026-03-24 09:55:00,2026-03-24 10:12:00,39.8,1,0,33.7,0,2
SUB00104,HH00104,followup,EN10,2026-03-28 09:38:00,2026-03-28 10:35:00,35.0,1,0,15.6,0,0
SUB00105,HH00105,followup,EN09,2026-03-06 09:15:00,2026-03-06 10:22:00,47.3,1,0,4.4,0,1
SUB00106,HH00106,followup,EN03,2026-03-30 09:00:00,2026-03-30 10:48:00,11.2,1,0,17.9,0,1
SUB00107,HH00107,followup,EN08,2026-04-02 09:26:00,2026-04-02 10:39:00,33.3,1,0,11.6,0,1
SUB00108,HH00108,followup,EN09,2026-03-04 09:36:00,2026-03-04 10:44:00,17.9,1,0,15.1,0,2
SUB00109,HH00109,followup,EN13,2026-04-02 09:04:00,2026-04-02 10:08:00,23.5,1,0,13.9,0,1
SUB00110,HH00110,followup,EN12,2026-03-09 09:49:00,2026-03-09 10:35:00,27.3,1,0,18.6,0,0
SUB00111,HH00111,followup,EN03,2026-04-10 09:01:00,2026-04-10 10:46:00,18.7,1,0,38.0,0,2
SUB00112,HH00112,followup,EN03,2026-03-17 09:19:00,2026-03-17 10:46:00,18.5,1,0,13.7,1,0
SUB00113,HH00113,followup,EN11,2026-03-13 09:13:00,2026-03-13 10:49:00,40.9,1,0,15.8,0,5
SUB00114,HH00114,followup,EN02,2026-03-08 09:17:00,2026-03-08 10:12:00,19.7,1,0,16.3,1,1
SUB00115,HH00115,followup,EN04,2026-03-24 09:46:00,2026-03-24 10:54:00,44.2,1,0,9.8,0,0
SUB00116,HH00116,followup,EN04,2026-03-21 09:53:00,2026-03-21 10:36:00,45.0,1,0,15.5,0,0
SUB00117,HH00117,followup,EN13,2026-04-05 09:57:00,2026-04-05 10:41:00,36.0,1,0,21.8,0,0
SUB00118,HH00118,followup,EN05,2026-04-03 09:12:00,2026-04-03 10:39:00,39.8,1,0,4.0,0,2
SUB00119,HH00119,followup,EN01,2026-03-28 09:44:00,2026-03-28 10:45:00,26.7,1,0,12.1,0,1
SUB00120,HH00120,followup,EN14,2026-03-11 09:06:00,2026-03-11 10:14:00,51.7,1,0,4.0,0,1
SUB00121,HH00121,followup,EN10,2026-03-16 09:16:00,2026-03-16 10:00:00,42.8,1,0,3,0,0
SUB00122,HH00122,followup,EN03,2026-04-06 09:23:00,2026-04-06 10:56:00,25.0,1,0,26.6,0,2
SUB00123,HH00123,followup,EN06,2026-03-04 09:02:00,2026-03-04 10:47:00,32.2,1,0,15.7,0,2
SUB00124,HH00124,followup,EN07,2026-03-22 09:24:00,2026-03-22 10:47:00,26.3,1,0,27.3,0,0
SUB00125,HH00125,followup,EN13,2026-04-11 09:22:00,2026-04-11 10:54:00,44.2,1,0,26.4,0,0
SUB00126,HH00126,followup,EN06,2026-04-08 09:33:00,2026-04-08 10:57:00,42.8,1,0,6.9,0,2
SUB00127,HH00127,followup,EN10,2026-03-11 09:07:00,2026-03-11 10:43:00,38.3,0,0,17.9,0,1
SUB00128,HH00128,followup,EN04,2026-04-03 09:05:00,2026-04-03 10:30:00,30.9,1,0,14.7,0,1
SUB00129,HH00129,followup,EN04,2026-04-01 09:09:00,2026-04-01 10:35:00,35.3,1,0,27.9,0,4
SUB00130,HH00130,followup,EN03,2026-03-31 09:22:00,2026-03-31 10:18:00,25.5,1,0,3,0,1
SUB00131,HH00131,followup,EN07,2026-03-06 09:51:00,2026-03-06 10:50:00,36.6,1,0,25.4,0,1
SUB00132,HH00132,followup,EN12,2026-03-31 09:01:00,2026-03-31 10:40:00,37.8,1,0,29.1,0,2
SUB00133,HH00133,followup,EN10,2026-03-13 09:52:00,2026-03-13 10:05:00,44.9,1,0,17.9,0,0
SUB00134,HH00134,followup,EN15,2026-03-08 09:23:00,2026-03-08 10:41:00,38.7,1,0,20.7,0,0
SUB00135,HH00135,followup,EN16,2026-03-20 09:41:00,2026-03-20 10:48:00,36.8,1,0,13.7,0,0
SUB00136,HH00136,followup,EN16,2026-03-27 09:22:00,2026-03-27 10:23:00,45.0,1,0,11.0,0,1
SUB00137,HH00137,followup,EN13,2026-03-08 09:59:00,2026-03-08 10:04:00,36.3,1,0,11.5,0,2
SUB00138,HH00138,followup,EN08,2026-04-13 09:21:00,2026-04-13 10:51:00,18.2,1,0,45.8,0,0
SUB00139,HH00139,followup,EN07,2026-04-01 09:03:00,2026-04-01 10:17:00,23.4,1,0,19.9,0,1
SUB00140,HH00140,followup,EN05,2026-03-21 09:02:00,2026-03-21 10:42:00,29.4,1,0,13.8,0,1
SUB00141,HH00141,followup,EN11,2026-03-14 09:39:00,2026-03-14 10:26:00,36.4,1,0,3,0,4
SUB00142,HH00142,followup,EN01,2026-03-06 09:46:00,2026-03-06 10:29:00,34.9,1,0,26.2,0,0
SUB00143,HH00143,followup,EN03,2026-04-08 09:21:00,2026-04-08 10:27:00,10.0,1,0,39.7,0,2
SUB00144,HH00144,followup,EN06,2026-03-30 09:08:00,2026-03-30 10:39:00,33.7,1,0,18.0,0,2
SUB00145,HH00145,followup,EN08,2026-03-26 09:08:00,2026-03-26 10:28:00,43.0,1,0,14.5,0,2
SUB00146,HH00146,followup,EN07,2026-03-03 09:50:00,2026-03-03 10:39:00,35.5,1,0,9.1,0,1
SUB00147,HH00147,followup,EN06,2026-04-08 09:24:00,2026-04-08 10:57:00,53.3,1,0,24.5,0,0
SUB00148,HH00148,followup,EN02,2026-03-18 09:32:00,2026-03-18 10:22:00,34.3,1,0,23.2,0,2
SUB00149,HH00149,followup,EN12,2026-03-15 09:42:00,2026-03-15 10:50:00,25.1,1,0,11.2,0,1
SUB00150,HH00150,followup,EN02,2026-03-10 09:25:00,2026-03-10 10:21:00,20.6,1,0,10.6,0,1
SUB00151,HH00151,followup,EN01,2026-03-19 09:05:00,2026-03-19 10:12:00,34.4,1,0,11.7,0,0
SUB00152,HH00152,followup,EN07,2026-03-13 09:11:00,2026-03-13 10:03:00,34.9,1,0,17.3,0,0
SUB00153,HH00153,followup,EN08,2026-03-08 09:13:00,2026-03-08 10:14:00,45.2,1,0,41.1,0,0
SUB00154,HH00154,followup,EN03,2026-03-26 09:40:00,2026-03-26 10:18:00,21.5,1,0,14.7,0,3
SUB00155,HH00155,followup,EN08,2026-03-29 09:42:00,2026-03-29 10:00:00,49.6,1,0,27.8,0,2
SUB00156,HH00156,followup,EN09,2026-04-04 09:34:00,2026-04-04 10:42:00,25.9,1,0,18.4,0,1
SUB00157,HH00157,followup,EN05,2026-04-09 09:16:00,2026-04-09 10:47:00,50.5,0,1,9.8,0,1
SUB00158,HH00158,followup,EN09,2026-03-11 09:37:00,2026-03-11 10:48:00,42.5,1,0,16.2,0,0
SUB00159,HH00159,followup,EN07,2026-04-11 09:25:00,2026-04-11 10:09:00,33.6,1,0,11.9,1,1
SUB00160,HH00160,followup,EN01,2026-04-10 09:18:00,2026-04-10 10:01:00,43.3,1,0,10.1,0,2
SUB00161,HH00161,followup,EN09,2026-03-20 09:16:00,2026-03-20 10:23:00,43.3,1,0,15.3,0,2
SUB00162,HH00162,followup,EN13,2026-03-23 09:31:00,2026-03-23 10:22:00,35.7,1,0,15.3,0,3
SUB00163,HH00163,followup,EN05,2026-04-11 09:11:00,2026-04-11 10:44:00,39.8,1,0,4.1,0,0
SUB00164,HH00164,followup,EN16,2026-03-31 09:29:00,2026-03-31 10:02:00,28.1,1,0,18.5,0,0
SUB00165,HH00165,followup,EN05,2026-03-03 09:54:00,2026-03-03 10:10:00,30.9,1,0,32.2,0,1
SUB00166,HH00166,followup,EN05,2026-03-15 09:54:00,2026-03-15 10:06:00,41.8,1,0,19.3,0,2
SUB00167,HH00167,followup,EN01,2026-03-13 09:04:00,2026-03-13 10:07:00,44.7,1,0,9.5,0,2
SUB00168,HH00168,followup,EN12,2026-03-24 09:04:00,2026-03-24 10:13:00,27.1,1,0,22.9,0,1
SUB00169,HH00169,followup,EN13,2026-03-15 09:35:00,2026-03-15 10:12:00,43.3,1,0,24.1,1,0
SUB00170,HH00170,followup,EN14,2026-03-18 09:35:00,2026-03-18 10:28:00,39.9,1,0,41.2,0,1
SUB00171,HH00171,followup,EN08,2026-04-01 09:51:00,2026-04-01 10:28:00,39.9,1,0,22.1,0,1
SUB00172,HH00172,followup,EN08,2026-03-04 09:48:00,2026-03-04 10:42:00,29.8,1,0,22.2,0,0
SUB00173,HH00173,followup,EN08,2026-03-11 09:05:00,2026-03-11 10:22:00,28.8,1,0,6.9,0,1
SUB00174,HH00174,followup,EN02,2026-03-25 09:53:00,2026-03-25 10:29:00,35.0,1,0,3,0,0
SUB00175,HH00175,followup,EN06,2026-03-20 09:43:00,2026-03-20 10:38:00,8.0,0,0,28.4,0,2
SUB00176,HH00176,followup,EN11,2026-03-10 09:13:00,2026-03-10 10:42:00,44.1,1,0,34.2,0,3
SUB00177,HH00177,followup,EN02,2026-03-27 09:59:00,2026-03-27 10:42:00,36.5,1,0,18.3,0,0
SUB00178,HH00178,followup,EN05,2026-04-01 09:56:00,2026-04-01 10:16:00,38.8,1,0,11.4,0,1
SUB00179,HH00179,followup,EN02,2026-03-27 09:17:00,2026-03-27 10:28:00,48.1,1,0,21.4,0,1
SUB00180,HH00180,followup,EN08,2026-03-13 09:20:00,2026-03-13 10:23:00,49.2,1,0,3,0,1
SUB00181,HH00181,followup,EN16,2026-03-20 09:54:00,2026-03-20 10:22:00,30.3,1,0,18.4,0,0
SUB00182,HH00182,followup,EN04,2026-03-21 09:30:00,2026-03-21 10:38:00,44.7,1,0,24.4,1,0
SUB00183,HH00183,followup,EN06,2026-03-19 09:55:00,2026-03-19 10:01:00,30.8,1,0,3,0,0
SUB00184,HH00184,followup,EN09,2026-04-07 09:27:00,2026-04-07 10:48:00,40.5,1,0,16.0,0,2
SUB00185,HH00185,followup,EN02,2026-03-19 09:25:00,2026-03-19 10:37:00,34.4,1,0,15.8,0,1
SUB00186,HH00186,followup,EN06,2026-03-20 09:02:00,2026-03-20 10:17:00,41.9,1,0,5.9,0,0
SUB00187,HH00187,followup,EN03,2026-03-10 09:01:00,2026-03-10 10:55:00,20.1,1,0,13.1,0,1
SUB00188,HH00188,followup,EN13,2026-03-03 09:52:00,2026-03-03 10:50:00,44.7,1,0,16.1,0,0
SUB00189,HH00189,followup,EN09,2026-04-04 09:54:00,2026-04-04 10:56:00,27.9,1,0,4.6,0,3
SUB00190,HH00190,followup,EN16,2026-03-19 09:09:00,2026-03-19 10:19:00,46.3,1,0,8.5,0,0
SUB00191,HH00191,followup,EN02,2026-04-10 09:51:00,2026-04-10 10:08:00,43.4,1,0,8.6,0,0
SUB00192,HH00192,followup,EN01,2026-03-23 09:04:00,2026-03-23 10:35:00,25.7,1,0,9.2,0,1
SUB00193,HH00193,followup,EN16,2026-04-11 09:21:00,2026-04-11 10:23:00,42.5,1,0,30.7,0,1
SUB00194,HH00194,followup,EN05,2026-03-24 09:39:00,2026-03-24 10:39:00,36.2,1,0,18.2,0,0
SUB00195,HH00195,followup,EN08,2026-04-02 09:22:00,2026-04-02 10:36:00,30.8,1,0,42.7,0,0
SUB00196,HH00196,followup,EN11,2026-04-08 09:57:00,2026-04-08 10:41:00,44.5,1,0,20.5,1,3
SUB00197,HH00197,followup,EN04,2026-03-12 09:30:00,2026-03-12 10:48:00,32.7,1,0,3,0,1
SUB00198,HH00198,followup,EN05,2026-03-02 09:16:00,2026-03-02 10:13:00,35.9,1,0,25.6,0,0
SUB00199,HH00199,followup,EN13,2026-03-22 09:39:00,2026-03-22 10:57:00,37.1,1,0,30.4,0,0
SUB00200,HH00200,followup,EN03,2026-03-17 09:59:00,2026-03-17 10:03:00,18.2,1,0,22.8,0,1
SUB00201,HH00201,followup,EN05,2026-03-29 09:32:00,2026-03-29 10:49:00,37.5,1,0,37.2,0,2
SUB00202,HH00202,followup,EN06,2026-04-09 09:28:00,2026-04-09 10:49:00,40.3,1,0,20.3,0,0
SUB00203,HH00203,followup,EN03,2026-03-28 09:21:00,2026-03-28 10:41:00,11.3,1,0,15.2,0,1
SUB00204,HH00204,followup,EN01,2026-03-04 09:13:00,2026-03-04 10:10:00,40.8,0,1,3,0,0
SUB00205,HH00205,followup,EN07,2026-04-06 09:17:00,2026-04-06 10:39:00,32.0,1,0,19.1,0,1
SUB00206,HH00206,followup,EN10,2026-03-21 09:09:00,2026-03-21 10:22:00,41.7,0,0,18.8,0,0
SUB00207,HH00207,followup,EN11,2026-04-06 09:20:00,2026-04-06 10:29:00,17.5,1,0,21.6,0,2
SUB00208,HH00208,followup,EN16,2026-03-29 09:31:00,2026-03-29 10:55:00,49.3,0,0,17.7,0,1
SUB00209,HH00209,followup,EN05,2026-03-17 09:02:00,2026-03-17 10:29:00,35.8,1,0,17.4,0,1
SUB00210,HH00210,followup,EN05,2026-03-09 09:41:00,2026-03-09 10:57:00,18.0,1,0,8.0,0,1
SUB00211,HH00211,followup,EN10,2026-03-01 09:50:00,2026-03-01 10:48:00,33.6,1,0,21.5,0,1
SUB00212,HH00212,followup,EN13,2026-04-06 09:42:00,2026-04-06 10:21:00,30.0,1,0,18.1,0,0
SUB00213,HH00213,followup,EN04,2026-03-12 09:33:00,2026-03-12 10:01:00,33.7,1,0,24.7,0,0
SUB00214,HH00214,followup,EN07,2026-03-28 09:39:00,2026-03-28 10:11:00,46.1,1,0,21.6,0,1
SUB00215,HH00215,followup,EN10,2026-04-06 09:41:00,2026-04-06 10:05:00,34.9,1,0,8.5,0,2
SUB00216,HH00216,followup,EN10,2026-04-05 09:12:00,2026-04-05 10:08:00,29.0,1,0,21.7,0,1
SUB00217,HH00217,followup,EN11,2026-03-01 09:21:00,2026-03-01 10:12:00,30.1,1,0,20.3,0,3
SUB00218,HH00218,followup,EN08,2026-04-05 09:05:00,2026-04-05 10:53:00,12.9,0,1,18.6,0,0
SUB00219,HH00219,followup,EN12,2026-03-19 09:51:00,2026-03-19 10:37:00,44.5,1,0,42.4,0,0
SUB00220,HH00220,followup,EN02,2026-03-24 09:25:00,2026-03-24 10:01:00,54.2,1,0,3,0,2
SUB00221,HH00221,followup,EN08,2026-03-05 09:22:00,2026-03-05 10:55:00,40.6,0,0,18.1,0,0
SUB00222,HH00222,followup,EN11,2026-03-11 09:51:00,2026-03-11 10:01:00,25.7,1,0,33.7,0,3
SUB00223,HH00223,followup,EN03,2026-04-13 09:06:00,2026-04-13 10:37:00,23.8,1,0,20.5,0,0
SUB00224,HH00224,followup,EN04,2026-03-15 09:15:00,2026-03-15 10:12:00,44.7,1,0,29.0,0,2
SUB00225,HH00225,followup,EN16,2026-04-13 09:22:00,2026-04-13 10:20:00,26.1,1,0,12.3,0,0
SUB00226,HH00226,followup,EN02,2026-04-04 09:07:00,2026-04-04 10:04:00,41.3,1,0,20.2,0,1
SUB00227,HH00227,followup,EN11,2026-04-07 09:33:00,2026-04-07 10:56:00,32.4,1,0,3.3,0,4
SUB00228,HH00228,followup,EN08,2026-04-11 09:08:00,2026-04-11 10:39:00,38.4,1,0,17.4,0,0
SUB00229,HH00229,followup,EN06,2026-04-02 09:54:00,2026-04-02 10:24:00,30.5,1,0,22.0,0,0
SUB00230,HH00230,followup,EN15,2026-03-30 09:35:00,2026-03-30 10:03:00,38.3,1,0,20.0,0,2
SUB00231,HH00231,followup,EN15,2026-03-23 09:12:00,2026-03-23 10:49:00,32.4,1,0,3,0,1
