hhid,payment_cycle,scheduled_date,actual_date,provider,transfer_amount_expected,transfer_amount_paid,failed_payment,failure_reason
HH00017,2,2025-08-30,2025-09-03,PostBank,65,65,0,
HH00017,3,2025-10-29,2025-11-03,PostBank,65,65,0,
HH00017,4,2025-12-28,2025-12-30,PostBank,65,65,0,
HH00018,1,2025-07-01,2025-07-09,MobileCash,65,65,0,
HH00018,2,2025-08-30,2025-09-06,MobileCash,65,65,0,
HH00018,3,2025-10-29,2025-11-07,MobileCash,65,65,0,
HH00018,4,2025-12-28,2026-01-06,MobileCash,65,65,0,
HH00019,1,2025-07-01,,PostBank,0,0,0,
HH00019,2,2025-08-30,,PostBank,0,0,0,
HH00019,3,2025-10-29,,PostBank,0,0,0,
HH00019,4,2025-12-28,,PostBank,0,0,0,
HH00020,1,2025-07-01,2025-07-13,MobileCash,65,65,0,
HH00020,2,2025-08-30,2025-09-07,MobileCash,65,65,0,
HH00020,3,2025-10-29,,MobileCash,65,0,1,inactive account
HH00020,4,2025-12-28,2026-01-02,MobileCash,65,65,0,
HH00021,1,2025-07-01,2025-07-09,MobileCash,65,65,0,
HH00021,2,2025-08-30,2025-09-11,MobileCash,65,65,0,
HH00021,3,2025-10-29,2025-11-12,MobileCash,65,65,0,
HH00021,4,2025-12-28,2026-01-04,MobileCash,65,65,0,
HH00022,1,2025-07-01,2025-07-01,LumoraPay,65,65,0,
HH00022,2,2025-08-30,2025-09-06,LumoraPay,65,65,0,
HH00022,3,2025-10-29,2025-11-02,LumoraPay,65,65,0,
HH00022,4,2025-12-28,2025-12-29,LumoraPay,65,65,0,
HH00023,1,2025-07-01,,MobileCash,65,0,1,provider outage
HH00023,2,2025-08-30,2025-09-05,MobileCash,65,65,0,
HH00023,3,2025-10-29,2025-11-09,MobileCash,65,65,0,
HH00023,4,2025-12-28,2026-01-02,MobileCash,65,65,0,
HH00024,1,2025-07-01,2025-07-06,LumoraPay,65,65,0,
HH00024,2,2025-08-30,2025-09-02,LumoraPay,65,65,0,
HH00024,3,2025-10-29,2025-11-04,LumoraPay,65,65,0,
HH00024,4,2025-12-28,2026-01-05,LumoraPay,65,65,0,
HH00025,1,2025-07-01,,LumoraPay,0,0,0,
HH00025,2,2025-08-30,,LumoraPay,0,0,0,
HH00025,3,2025-10-29,,LumoraPay,0,0,0,
HH00025,4,2025-12-28,,LumoraPay,0,0,0,
HH00026,1,2025-07-01,2025-07-04,MobileCash,65,65,0,
HH00026,2,2025-08-30,2025-09-01,MobileCash,65,65,0,
HH00026,3,2025-10-29,2025-11-03,MobileCash,65,65,0,
HH00026,4,2025-12-28,2025-12-28,MobileCash,65,65,0,
HH00027,1,2025-07-01,2025-07-13,PostBank,65,65,0,
HH00027,2,2025-08-30,2025-09-06,PostBank,65,65,0,
HH00027,3,2025-10-29,2025-11-04,PostBank,65,65,0,
HH00027,4,2025-12-28,2026-01-01,PostBank,65,65,0,
HH00028,1,2025-07-01,2025-07-04,MobileCash,65,65,0,
HH00028,2,2025-08-30,2025-09-07,MobileCash,65,65,0,
HH00028,3,2025-10-29,2025-10-29,MobileCash,65,65,0,
HH00028,4,2025-12-28,2026-01-05,MobileCash,65,65,0,
HH00029,1,2025-07-01,,LumoraPay,0,0,0,
HH00029,2,2025-08-30,,LumoraPay,0,0,0,
HH00029,3,2025-10-29,,LumoraPay,0,0,0,
HH00029,4,2025-12-28,,LumoraPay,0,0,0,
HH00030,1,2025-07-01,2025-07-07,LumoraPay,65,65,0,
HH00030,2,2025-08-30,2025-09-06,LumoraPay,65,65,0,
HH00030,3,2025-10-29,2025-11-04,LumoraPay,65,65,0,
HH00030,4,2025-12-28,2025-12-31,LumoraPay,65,65,0,
HH00031,1,2025-07-01,,LumoraPay,0,0,0,
HH00031,2,2025-08-30,,LumoraPay,0,0,0,
HH00031,3,2025-10-29,,LumoraPay,0,0,0,
HH00031,4,2025-12-28,,LumoraPay,0,0,0,
HH00032,1,2025-07-01,2025-07-04,MobileCash,65,65,0,
HH00032,2,2025-08-30,,MobileCash,65,0,1,missing national id
HH00032,3,2025-10-29,2025-11-17,MobileCash,65,65,0,
HH00032,4,2025-12-28,2026-01-02,MobileCash,65,65,0,
HH00033,1,2025-07-01,,LumoraPay,0,0,0,
HH00033,2,2025-08-30,,LumoraPay,0,0,0,
HH00033,3,2025-10-29,,LumoraPay,0,0,0,
HH00033,4,2025-12-28,,LumoraPay,0,0,0,
HH00034,1,2025-07-01,,MobileCash,0,0,0,
HH00034,2,2025-08-30,,MobileCash,0,0,0,
HH00034,3,2025-10-29,,MobileCash,0,0,0,
HH00034,4,2025-12-28,,MobileCash,0,0,0,
HH00035,1,2025-07-01,,MobileCash,65,0,1,provider outage
HH00035,2,2025-08-30,2025-09-13,MobileCash,65,65,0,
HH00035,3,2025-10-29,2025-11-08,MobileCash,65,65,0,
HH00035,4,2025-12-28,2026-01-15,MobileCash,65,65,0,
HH00036,1,2025-07-01,,MobileCash,0,0,0,
HH00036,2,2025-08-30,,MobileCash,0,0,0,
HH00036,3,2025-10-29,,MobileCash,0,0,0,
HH00036,4,2025-12-28,,MobileCash,0,0,0,
HH00037,1,2025-07-01,,LumoraPay,0,0,0,
HH00037,2,2025-08-30,,LumoraPay,0,0,0,
HH00037,3,2025-10-29,,LumoraPay,0,0,0,
HH00037,4,2025-12-28,2025-12-30,LumoraPay,0,65,0,
HH00038,1,2025-07-01,2025-07-02,PostBank,65,65,0,
HH00038,2,2025-08-30,,PostBank,65,0,1,missing national id
HH00038,3,2025-10-29,2025-11-05,PostBank,65,65,0,
HH00038,4,2025-12-28,2026-01-03,PostBank,65,65,0,
HH00039,1,2025-07-01,,PostBank,0,0,0,
HH00039,2,2025-08-30,,PostBank,0,0,0,
HH00039,3,2025-10-29,,PostBank,0,0,0,
HH00039,4,2025-12-28,,PostBank,0,0,0,
HH00040,1,2025-07-01,,PostBank,0,0,0,
HH00040,2,2025-08-30,,PostBank,0,0,0,
HH00040,3,2025-10-29,,PostBank,0,0,0,
HH00040,4,2025-12-28,,PostBank,0,0,0,
HH00041,1,2025-07-01,2025-07-09,PostBank,65,65,0,
HH00041,2,2025-08-30,2025-09-03,PostBank,65,65,0,
HH00041,3,2025-10-29,,PostBank,65,0,1,provider outage
HH00041,4,2025-12-28,2026-01-02,PostBank,65,65,0,
HH00042,1,2025-07-01,,PostBank,0,0,0,
HH00042,2,2025-08-30,,PostBank,0,0,0,
HH00042,3,2025-10-29,,PostBank,0,0,0,
HH00042,4,2025-12-28,,PostBank,0,0,0,
HH00043,1,2025-07-01,,MobileCash,0,0,0,
HH00043,2,2025-08-30,,MobileCash,0,0,0,
HH00043,3,2025-10-29,,MobileCash,0,0,0,
HH00043,4,2025-12-28,,MobileCash,0,0,0,
HH00044,1,2025-07-01,2025-07-10,MobileCash,65,65,0,
HH00044,2,2025-08-30,2025-08-30,MobileCash,65,65,0,
HH00044,3,2025-10-29,2025-11-09,MobileCash,65,65,0,
HH00044,4,2025-12-28,2026-01-01,MobileCash,65,65,0,
HH00045,1,2025-07-01,,PostBank,65,0,1,inactive account
HH00045,2,2025-08-30,2025-08-30,PostBank,65,65,0,
HH00045,3,2025-10-29,2025-11-03,PostBank,65,65,0,
HH00045,4,2025-12-28,2026-01-01,PostBank,65,65,0,
HH00046,1,2025-07-01,2025-07-05,MobileCash,65,65,0,
HH00046,2,2025-08-30,2025-09-09,MobileCash,65,65,0,
HH00046,3,2025-10-29,2025-11-08,MobileCash,65,65,0,
HH00046,4,2025-12-28,2026-01-08,MobileCash,65,65,0,
HH00047,1,2025-07-01,,PostBank,0,0,0,
HH00047,2,2025-08-30,,PostBank,0,0,0,
HH00047,3,2025-10-29,,PostBank,0,0,0,
HH00047,4,2025-12-28,,PostBank,0,0,0,
HH00048,1,2025-07-01,,LumoraPay,0,0,0,
HH00048,2,2025-08-30,,LumoraPay,0,0,0,
HH00048,3,2025-10-29,,LumoraPay,0,0,0,
HH00048,4,2025-12-28,,LumoraPay,0,0,0,
HH00049,1,2025-07-01,,LumoraPay,0,0,0,
HH00049,2,2025-08-30,,LumoraPay,0,0,0,
HH00049,3,2025-10-29,,LumoraPay,0,0,0,
HH00049,4,2025-12-28,,LumoraPay,0,0,0,
HH00050,1,2025-07-01,2025-07-03,LumoraPay,65,65,0,
HH00050,2,2025-08-30,2025-09-06,LumoraPay,65,65,0,
HH00050,3,2025-10-29,2025-11-01,LumoraPay,65,65,0,
HH00050,4,2025-12-28,2025-12-29,LumoraPay,65,65,0,
HH00051,1,2025-07-01,2025-07-04,PostBank,65,65,0,
HH00051,2,2025-08-30,2025-09-03,PostBank,65,65,0,
HH00051,3,2025-10-29,2025-10-30,PostBank,65,65,0,
HH00051,4,2025-12-28,2026-01-01,PostBank,65,65,0,
HH00052,1,2025-07-01,,MobileCash,0,0,0,
HH00052,2,2025-08-30,,MobileCash,0,0,0,
HH00052,3,2025-10-29,,MobileCash,0,0,0,
HH00052,4,2025-12-28,,MobileCash,0,0,0,
HH00053,1,2025-07-01,,MobileCash,65,0,1,inactive account
HH00053,2,2025-08-30,2025-09-08,MobileCash,65,65,0,
HH00053,3,2025-10-29,2025-11-08,MobileCash,65,65,0,
HH00053,4,2025-12-28,2026-01-04,MobileCash,65,65,0,
HH00054,1,2025-07-01,,MobileCash,0,0,0,
HH00054,2,2025-08-30,,MobileCash,0,0,0,
HH00054,3,2025-10-29,,MobileCash,0,0,0,
HH00054,4,2025-12-28,,MobileCash,0,0,0,
HH00055,1,2025-07-01,2025-07-10,LumoraPay,65,65,0,
HH00055,2,2025-08-30,2025-08-30,LumoraPay,65,65,0,
HH00055,3,2025-10-29,2025-10-31,LumoraPay,65,65,0,
HH00055,4,2025-12-28,2026-01-01,LumoraPay,65,65,0,
HH00056,1,2025-07-01,,MobileCash,0,0,0,
HH00056,2,2025-08-30,,MobileCash,0,0,0,
HH00056,3,2025-10-29,,MobileCash,0,0,0,
HH00056,4,2025-12-28,,MobileCash,0,0,0,
HH00057,1,2025-07-01,2025-07-10,PostBank,65,65,0,
HH00057,2,2025-08-30,2025-09-05,PostBank,65,65,0,
HH00057,3,2025-10-29,,PostBank,65,0,1,inactive account
HH00057,4,2025-12-28,2026-01-11,PostBank,65,65,0,
HH00058,1,2025-07-01,,PostBank,0,0,0,
HH00058,2,2025-08-30,,PostBank,0,0,0,
HH00058,3,2025-10-29,,PostBank,0,0,0,
HH00058,4,2025-12-28,,PostBank,0,0,0,
HH00059,1,2025-07-01,,MobileCash,0,0,0,
HH00059,2,2025-08-30,,MobileCash,0,0,0,
HH00059,3,2025-10-29,,MobileCash,0,0,0,
HH00059,4,2025-12-28,,MobileCash,0,0,0,
HH00060,1,2025-07-01,2025-07-08,PostBank,65,65,0,
HH00060,2,2025-08-30,2025-08-31,PostBank,65,65,0,
HH00060,3,2025-10-29,2025-11-03,PostBank,65,65,0,
HH00060,4,2025-12-28,2025-12-29,PostBank,65,65,0,
HH00061,1,2025-07-01,2025-07-05,MobileCash,65,65,0,
HH00061,2,2025-08-30,2025-09-08,MobileCash,65,65,0,
HH00061,3,2025-10-29,,MobileCash,65,0,1,provider outage
HH00061,4,2025-12-28,2026-01-01,MobileCash,65,65,0,
HH00062,1,2025-07-01,,MobileCash,0,0,0,
HH00062,2,2025-08-30,,MobileCash,0,0,0,
HH00062,3,2025-10-29,,MobileCash,0,0,0,
HH00062,4,2025-12-28,,MobileCash,0,0,0,
HH00063,1,2025-07-01,,MobileCash,0,0,0,
HH00063,2,2025-08-30,,MobileCash,0,0,0,
HH00063,3,2025-10-29,,MobileCash,0,0,0,
HH00063,4,2025-12-28,,MobileCash,0,0,0,
HH00064,1,2025-07-01,2025-07-04,MobileCash,65,65,0,
HH00064,2,2025-08-30,2025-08-30,MobileCash,65,65,0,
HH00064,3,2025-10-29,2025-11-07,MobileCash,65,65,0,
HH00064,4,2025-12-28,2025-12-29,MobileCash,65,65,0,
HH00065,1,2025-07-01,,LumoraPay,65,0,1,provider outage
HH00065,2,2025-08-30,2025-08-30,LumoraPay,65,65,0,
HH00065,3,2025-10-29,2025-11-01,LumoraPay,65,65,0,
HH00065,4,2025-12-28,2026-01-01,LumoraPay,65,65,0,
HH00066,1,2025-07-01,,PostBank,0,0,0,
HH00066,2,2025-08-30,,PostBank,0,0,0,
HH00066,3,2025-10-29,,PostBank,0,0,0,
HH00066,4,2025-12-28,,PostBank,0,0,0,
HH00067,1,2025-07-01,,MobileCash,0,0,0,
HH00067,2,2025-08-30,,MobileCash,0,0,0,
HH00067,3,2025-10-29,,MobileCash,0,0,0,
HH00067,4,2025-12-28,,MobileCash,0,0,0,
HH00068,1,2025-07-01,2025-07-07,PostBank,65,65,0,
HH00068,2,2025-08-30,2025-09-01,PostBank,65,65,0,
HH00068,3,2025-10-29,2025-10-29,PostBank,65,65,0,
HH00068,4,2025-12-28,2026-01-01,PostBank,65,65,0,
HH00069,1,2025-07-01,,LumoraPay,0,0,0,
HH00069,2,2025-08-30,,LumoraPay,0,0,0,
HH00069,3,2025-10-29,,LumoraPay,0,0,0,
HH00069,4,2025-12-28,,LumoraPay,0,0,0,
HH00070,1,2025-07-01,,LumoraPay,0,0,0,
HH00070,2,2025-08-30,,LumoraPay,0,0,0,
HH00070,3,2025-10-29,,LumoraPay,0,0,0,
HH00070,4,2025-12-28,,LumoraPay,0,0,0,
HH00071,1,2025-07-01,,MobileCash,0,0,0,
HH00071,2,2025-08-30,,MobileCash,0,0,0,
HH00071,3,2025-10-29,,MobileCash,0,0,0,
HH00071,4,2025-12-28,,MobileCash,0,0,0,
HH00072,1,2025-07-01,,LumoraPay,0,0,0,
HH00072,2,2025-08-30,,LumoraPay,0,0,0,
HH00072,3,2025-10-29,,LumoraPay,0,0,0,
HH00072,4,2025-12-28,,LumoraPay,0,0,0,
HH00073,1,2025-07-01,2025-07-09,MobileCash,65,65,0,
HH00073,2,2025-08-30,2025-09-04,MobileCash,65,65,0,
HH00073,3,2025-10-29,2025-11-10,MobileCash,65,65,0,
HH00073,4,2025-12-28,2026-01-08,MobileCash,65,65,0,
HH00074,1,2025-07-01,,MobileCash,0,0,0,
HH00074,2,2025-08-30,,MobileCash,0,0,0,
HH00074,3,2025-10-29,,MobileCash,0,0,0,
HH00074,4,2025-12-28,,MobileCash,0,0,0,
HH00075,1,2025-07-01,,LumoraPay,0,0,0,
HH00075,2,2025-08-30,,LumoraPay,0,0,0,
HH00075,3,2025-10-29,,LumoraPay,0,0,0,
HH00075,4,2025-12-28,,LumoraPay,0,0,0,
HH00076,1,2025-07-01,2025-07-04,LumoraPay,65,65,0,
HH00076,2,2025-08-30,2025-08-31,LumoraPay,65,65,0,
HH00076,3,2025-10-29,2025-11-04,LumoraPay,65,65,0,
HH00076,4,2025-12-28,2025-12-28,LumoraPay,65,65,0,
HH00077,1,2025-07-01,2025-07-01,LumoraPay,65,65,0,
HH00077,2,2025-08-30,2025-09-02,LumoraPay,65,65,0,
HH00077,3,2025-10-29,2025-10-29,LumoraPay,65,65,0,
HH00077,4,2025-12-28,2025-12-29,LumoraPay,65,65,0,
HH00078,1,2025-07-01,,MobileCash,0,0,0,
HH00078,2,2025-08-30,,MobileCash,0,0,0,
HH00078,3,2025-10-29,,MobileCash,0,0,0,
HH00078,4,2025-12-28,,MobileCash,0,0,0,
HH00079,1,2025-07-01,2025-07-06,MobileCash,65,65,0,
HH00079,2,2025-08-30,,MobileCash,65,0,1,inactive account
HH00079,3,2025-10-29,2025-11-15,MobileCash,65,65,0,
HH00079,4,2025-12-28,2026-01-03,MobileCash,65,65,0,
HH00080,1,2025-07-01,2025-07-01,MobileCash,65,65,0,
HH00080,2,2025-08-30,2025-09-09,MobileCash,65,65,0,
HH00080,3,2025-10-29,2025-11-03,MobileCash,65,65,0,
HH00080,4,2025-12-28,2026-01-01,MobileCash,65,65,0,
HH00081,1,2025-07-01,2025-07-01,LumoraPay,65,65,0,
HH00081,2,2025-08-30,2025-08-31,LumoraPay,65,65,0,
HH00081,3,2025-10-29,2025-10-29,LumoraPay,65,65,0,
HH00081,4,2025-12-28,2026-01-03,LumoraPay,65,65,0,
HH00082,1,2025-07-01,,LumoraPay,0,0,0,
HH00082,2,2025-08-30,,LumoraPay,0,0,0,
HH00082,3,2025-10-29,,LumoraPay,0,0,0,
HH00082,4,2025-12-28,,LumoraPay,0,0,0,
HH00083,1,2025-07-01,2025-07-05,LumoraPay,65,65,0,
HH00083,2,2025-08-30,2025-09-03,LumoraPay,65,65,0,
HH00083,3,2025-10-29,2025-10-30,LumoraPay,65,65,0,
HH00083,4,2025-12-28,2026-01-03,LumoraPay,65,65,0,
HH00084,1,2025-07-01,,PostBank,0,0,0,
HH00084,2,2025-08-30,,PostBank,0,0,0,
HH00084,3,2025-10-29,,PostBank,0,0,0,
HH00084,4,2025-12-28,2026-01-02,PostBank,0,65,0,
HH00085,1,2025-07-01,2025-07-04,MobileCash,65,65,0,
HH00085,2,2025-08-30,,MobileCash,65,0,1,provider outage
HH00085,3,2025-10-29,2025-11-03,MobileCash,65,65,0,
HH00085,4,2025-12-28,,MobileCash,65,0,1,provider outage
HH00086,1,2025-07-01,2025-07-07,LumoraPay,65,65,0,
HH00086,2,2025-08-30,2025-09-04,LumoraPay,65,65,0,
HH00086,3,2025-10-29,2025-11-04,LumoraPay,65,65,0,
HH00086,4,2025-12-28,2026-01-04,LumoraPay,65,65,0,
HH00087,1,2025-07-01,2025-07-16,MobileCash,65,65,0,
HH00087,2,2025-08-30,2025-09-07,MobileCash,65,65,0,
HH00087,3,2025-10-29,,MobileCash,65,0,1,inactive account
HH00087,4,2025-12-28,2026-01-03,MobileCash,65,65,0,
HH00088,1,2025-07-01,2025-07-04,MobileCash,65,65,0,
HH00088,2,2025-08-30,2025-09-11,MobileCash,65,65,0,
HH00088,3,2025-10-29,2025-10-31,MobileCash,65,65,0,
HH00088,4,2025-12-28,2026-01-04,MobileCash,65,65,0,
HH00089,1,2025-07-01,,MobileCash,0,0,0,
HH00089,2,2025-08-30,,MobileCash,0,0,0,
HH00089,3,2025-10-29,,MobileCash,0,0,0,
HH00089,4,2025-12-28,,MobileCash,0,0,0,
HH00090,1,2025-07-01,2025-07-08,LumoraPay,65,65,0,
HH00090,2,2025-08-30,2025-09-04,LumoraPay,65,65,0,
HH00090,3,2025-10-29,2025-11-06,LumoraPay,65,65,0,
HH00090,4,2025-12-28,2025-12-28,LumoraPay,65,65,0,
HH00091,1,2025-07-01,2025-07-02,PostBank,0,65,0,
HH00091,2,2025-08-30,,PostBank,0,0,0,
HH00091,3,2025-10-29,,PostBank,0,0,0,
HH00091,4,2025-12-28,,PostBank,0,0,0,
HH00092,1,2025-07-01,2025-07-11,LumoraPay,65,65,0,
HH00092,2,2025-08-30,2025-09-07,LumoraPay,65,65,0,
HH00092,3,2025-10-29,2025-11-04,LumoraPay,65,65,0,
HH00092,4,2025-12-28,2025-12-30,LumoraPay,65,65,0,
HH00093,1,2025-07-01,,MobileCash,0,0,0,
HH00093,2,2025-08-30,,MobileCash,0,0,0,
HH00093,3,2025-10-29,,MobileCash,0,0,0,
HH00093,4,2025-12-28,,MobileCash,0,0,0,
HH00094,1,2025-07-01,,LumoraPay,0,0,0,
HH00094,2,2025-08-30,,LumoraPay,0,0,0,
HH00094,3,2025-10-29,,LumoraPay,0,0,0,
HH00094,4,2025-12-28,,LumoraPay,0,0,0,
HH00095,1,2025-07-01,2025-07-07,LumoraPay,65,65,0,
HH00095,2,2025-08-30,,LumoraPay,65,0,1,inactive account
HH00095,3,2025-10-29,2025-11-01,LumoraPay,65,65,0,
HH00095,4,2025-12-28,2025-12-30,LumoraPay,65,65,0,
HH00096,1,2025-07-01,2025-07-13,PostBank,65,65,0,
HH00096,2,2025-08-30,2025-08-30,PostBank,65,65,0,
HH00096,3,2025-10-29,2025-11-01,PostBank,65,65,0,
HH00096,4,2025-12-28,2026-01-05,PostBank,65,65,0,
HH00097,1,2025-07-01,,MobileCash,0,0,0,
HH00097,2,2025-08-30,,MobileCash,0,0,0,
HH00097,3,2025-10-29,,MobileCash,0,0,0,
HH00097,4,2025-12-28,,MobileCash,0,0,0,
HH00098,1,2025-07-01,,MobileCash,0,0,0,
HH00098,2,2025-08-30,,MobileCash,0,0,0,
HH00098,3,2025-10-29,,MobileCash,0,0,0,
HH00098,4,2025-12-28,,MobileCash,0,0,0,
HH00099,1,2025-07-01,2025-07-10,MobileCash,65,65,0,
HH00099,2,2025-08-30,2025-09-05,MobileCash,65,65,0,
HH00099,3,2025-10-29,2025-11-01,MobileCash,65,65,0,
HH00099,4,2025-12-28,2026-01-07,MobileCash,65,65,0,
HH00100,1,2025-07-01,2025-07-07,PostBank,65,65,0,
HH00100,2,2025-08-30,2025-09-05,PostBank,65,65,0,
HH00100,3,2025-10-29,2025-11-08,PostBank,65,65,0,
HH00100,4,2025-12-28,2026-01-04,PostBank,65,65,0,
HH00101,1,2025-07-01,2025-07-01,LumoraPay,65,65,0,
HH00101,2,2025-08-30,2025-09-02,LumoraPay,65,65,0,
HH00101,3,2025-10-29,2025-11-04,LumoraPay,65,65,0,
HH00101,4,2025-12-28,2026-01-05,LumoraPay,65,65,0,
HH00102,1,2025-07-01,2025-07-02,LumoraPay,65,65,0,
HH00102,2,2025-08-30,2025-09-01,LumoraPay,65,65,0,
HH00102,3,2025-10-29,2025-11-02,LumoraPay,65,65,0,
HH00102,4,2025-12-28,2025-12-31,LumoraPay,65,65,0,
HH00103,1,2025-07-01,2025-07-14,MobileCash,65,65,0,
HH00103,2,2025-08-30,,MobileCash,65,0,1,missing national id
HH00103,3,2025-10-29,2025-11-06,MobileCash,65,65,0,
HH00103,4,2025-12-28,2025-12-28,MobileCash,65,65,0,
HH00104,1,2025-07-01,,MobileCash,0,0,0,
HH00104,2,2025-08-30,,MobileCash,0,0,0,
HH00104,3,2025-10-29,,MobileCash,0,0,0,
HH00104,4,2025-12-28,,MobileCash,0,0,0,
HH00105,1,2025-07-01,,LumoraPay,0,0,0,
HH00105,2,2025-08-30,,LumoraPay,0,0,0,
HH00105,3,2025-10-29,,LumoraPay,0,0,0,
HH00105,4,2025-12-28,,LumoraPay,0,0,0,
HH00106,1,2025-07-01,,MobileCash,0,0,0,
HH00106,2,2025-08-30,,MobileCash,0,0,0,
HH00106,3,2025-10-29,,MobileCash,0,0,0,
HH00106,4,2025-12-28,,MobileCash,0,0,0,
HH00107,1,2025-07-01,,MobileCash,65,0,1,missing national id
HH00107,2,2025-08-30,2025-09-05,MobileCash,65,65,0,
HH00107,3,2025-10-29,2025-11-05,MobileCash,65,65,0,
HH00107,4,2025-12-28,2026-01-05,MobileCash,65,65,0,
HH00108,1,2025-07-01,,PostBank,65,0,1,missing national id
HH00108,2,2025-08-30,2025-08-31,PostBank,65,65,0,
HH00108,3,2025-10-29,2025-11-01,PostBank,65,65,0,
HH00108,4,2025-12-28,2026-01-05,PostBank,65,65,0,
HH00109,1,2025-07-01,2025-07-02,LumoraPay,65,65,0,
HH00109,2,2025-08-30,2025-08-31,LumoraPay,65,65,0,
HH00109,3,2025-10-29,2025-10-29,LumoraPay,65,65,0,
HH00109,4,2025-12-28,2026-01-05,LumoraPay,65,65,0,
HH00110,1,2025-07-01,,LumoraPay,0,0,0,
HH00110,2,2025-08-30,,LumoraPay,0,0,0,
HH00110,3,2025-10-29,,LumoraPay,0,0,0,
HH00110,4,2025-12-28,,LumoraPay,0,0,0,
HH00111,1,2025-07-01,2025-07-09,MobileCash,65,65,0,
